Unnamed: 0,match_event_id,location_x,location_y,remaining_min,power_of_shot,knockout_match,game_season,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,team_name,date_of_game,home/away,shot_id_number,lat/lng,type_of_shot,type_of_combined_shot,match_id,team_id,remaining_min_1,power_of_shot_1,knockout_match_1,remaining_sec_1,distance_of_shot_1
37,165.0,-117.0,116.0,5.0,2.0,0,,33.0,36.0,,Left Side Center(LC),Mid Range,,Manchester United,,MANU @ VAN,38,"49.250068, -123.114646",shot - 1,,20000047,1610612747,5.0,2.0,0.0,33.0,36.0
44,281.0,-12.0,19.0,4.0,3.0,0,2000-01,,22.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-04,MANU @ VAN,45,"49.250068, -123.114646",shot - 39,,20000047,1610612747,4.0,3.0,0.0,29.0,22.0
49,410.0,-176.0,30.0,3.0,4.0,0,2000-01,19.0,37.0,,Left Side(L),Mid Range,,Manchester United,2000-11-04,MANU @ VAN,50,"49.250068, -123.114646",,shot - 3,20000047,1610612747,3.0,4.0,0.0,19.0,37.0
54,,-141.0,247.0,4.0,1.0,0,2000-01,58.0,48.0,,Left Side Center(LC),Penalty Spot,24+ ft.,Manchester United,2000-11-05,,55,"42.982923, -71.446094",,shot - 3,20000049,1610612747,4.0,1.0,0.0,,48.0
59,199.0,146.0,,3.0,2.0,0,,10.0,48.0,,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,2000-11-05,MANU vs. LAC,60,"42.982923, -71.446094",shot - 14,,20000049,1610612747,,42.36,0.0,10.0,
61,232.0,22.0,49.0,0.0,2.0,0,2000-01,47.0,25.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-11-05,MANU vs. LAC,62,"42.982923, -71.446094",shot - 39,,20000049,1610612747,0.0,2.0,108.928,,25.0
65,397.0,-10.0,91.0,10.0,4.0,0,2000-01,13.0,29.0,,Center(C),Goal Line,,Manchester United,2000-11-05,MANU vs. LAC,66,"42.982923, -71.446094",,shot - 3,20000049,1610612747,10.0,4.0,0.0,,29.0
66,22.0,-119.0,36.0,9.0,1.0,0,2000-01,6.0,32.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-11-07,MANU @ HOU,67,,,shot - 3,20000058,1610612747,9.0,1.0,0.0,6.0,32.0
70,55.0,159.0,110.0,5.0,1.0,0,2000-01,15.0,39.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2000-11-07,MANU @ HOU,71,"29.740325, -95.365762",shot - 9,,20000058,1610612747,5.0,1.0,77.8,15.0,39.0
71,73.0,7.0,257.0,3.0,1.0,0,2000-01,11.0,45.0,,Center(C),Penalty Spot,24+ ft.,Manchester United,,MANU @ HOU,72,"29.740325, -95.365762",,shot - 3,20000058,1610612747,3.0,,,29.2,45.0
75,215.0,-119.0,190.0,11.0,3.0,0,2000-01,2.0,42.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2000-11-07,MANU @ HOU,76,"29.740325, -95.365762",shot - 36,,20000058,1610612747,11.0,41.6,0.0,2.0,
79,313.0,58.0,47.0,11.0,4.0,0,2000-01,49.0,27.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-11-07,MANU @ HOU,80,"29.740325, -95.365762",shot - 22,,20000058,1610612747,34.64,4.0,0.0,28.2,13.4
84,20.0,-29.0,70.0,9.0,1.0,0,2000-01,48.0,27.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-11-08,MANU @ SAS,85,,,shot - 3,20000068,1610612747,9.0,1.0,0.0,48.0,27.0
85,33.0,-124.0,49.0,7.0,,0,2000-01,26.0,33.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-11-08,MANU @ SAS,86,"29.444994, -98.524120",,shot - 3,20000068,1610612747,7.0,1.0,0.0,26.0,33.0
86,39.0,132.0,127.0,6.0,1.0,0,2000-01,36.0,38.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2000-11-08,MANU @ SAS,87,"29.444994, -98.524120",shot - 10,,20000068,1610612747,6.0,1.0,0.0,36.0,38.0
91,82.0,-151.0,4.0,0.0,1.0,0,2000-01,47.0,35.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-11-08,MANU @ SAS,92,,shot - 54,,20000068,1610612747,34.64,1.0,0.0,47.0,35.0
94,180.0,,4.0,4.0,2.0,0,2000-01,25.0,33.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2000-11-08,MANU @ SAS,95,"29.444994, -98.524120",,shot - 3,20000068,1610612747,4.0,2.0,0.0,114.2,94.4
96,192.0,-94.0,160.0,3.0,2.0,0,,15.0,38.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2000-11-08,MANU @ SAS,97,"29.444994, -98.524120",shot - 12,,20000068,1610612747,3.0,114.36,39.608000000000004,15.0,38.0
103,286.0,-101.0,137.0,4.0,3.0,0,2000-01,16.0,37.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2000-11-08,MANU @ SAS,104,"29.444994, -98.524120",shot - 52,,20000068,1610612747,4.0,3.0,102.928,16.0,72.4
112,418.0,-151.0,150.0,0.0,4.0,0,2000-01,43.0,41.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2000-11-08,MANU @ SAS,113,"29.444994, -98.524120",shot - 49,,20000068,1610612747,0.0,4.0,0.0,45.7216,50.4
121,174.0,0.0,0.0,8.0,2.0,0,,18.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-12,MANU vs. HOU,122,"42.982923, -71.446094",shot - 32,,20000098,1610612747,21.64,2.0,0.0,18.0,20.0
122,217.0,-155.0,,2.0,2.0,0,,40.0,36.0,,,Mid Range,16-24 ft.,Manchester United,2000-11-12,MANU vs. HOU,123,,shot - 4,,20000098,1610612747,2.0,2.0,0.0,40.0,36.0
125,,-96.0,,9.0,3.0,0,2000-01,59.0,36.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2000-11-12,MANU vs. HOU,126,"42.982923, -71.446094",,shot - 3,20000098,1610612747,9.0,3.0,,59.0,62.4
132,327.0,0.0,0.0,2.0,3.0,0,2000-01,56.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-12,MANU vs. HOU,133,"42.982923, -71.446094",shot - 46,,20000098,1610612747,2.0,3.0,0.0,56.0,20.0
133,340.0,-170.0,13.0,2.0,3.0,0,2000-01,5.0,37.0,,Left Side(L),Mid Range,16-24 ft.,Manchester United,2000-11-12,MANU vs. HOU,134,"42.982923, -71.446094",,shot - 3,20000098,1610612747,2.0,3.0,,5.0,21.728
140,492.0,45.0,36.0,1.0,4.0,0,2000-01,5.0,25.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,,MANU vs. HOU,141,"42.982923, -71.446094",,shot - 3,20000098,1610612747,1.0,4.0,0.0,5.0,13.4
143,55.0,237.0,11.0,4.0,1.0,0,2000-01,52.0,43.0,,Right Side(R),Right Corner,24+ ft.,Manchester United,,MANU vs. DEN,144,"42.982923, -71.446094",shot - 45,,20000108,1610612747,4.0,1.0,,52.0,43.0
149,120.0,0.0,,10.0,2.0,0,2000-01,5.0,,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-14,MANU vs. DEN,150,"42.982923, -71.446094",shot - 4,,20000108,1610612747,10.0,2.0,0.0,5.0,20.0
151,179.0,7.0,169.0,4.0,2.0,0,2000-01,14.0,36.0,,Center(C),Mid Range,16-24 ft.,Manchester United,2000-11-14,MANU vs. DEN,152,"42.982923, -71.446094",shot - 32,,20000108,1610612747,4.0,2.0,0.0,14.0,36.0
152,186.0,0.0,0.0,3.0,2.0,0,2000-01,22.0,,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-14,MANU vs. DEN,153,"42.982923, -71.446094",shot - 4,,20000108,1610612747,3.0,2.0,0.0,22.0,20.0
155,,0.0,0.0,0.0,2.0,0,2000-01,26.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-14,MANU vs. DEN,156,"42.982923, -71.446094",,shot - 5,20000108,1610612747,0.0,2.0,0.0,26.0,20.0
158,318.0,0.0,0.0,3.0,3.0,0,2000-01,53.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-14,MANU vs. DEN,159,"42.982923, -71.446094",shot - 24,,20000108,1610612747,3.0,73.36,0.0,29.2,66.72800000000001
164,418.0,0.0,0.0,5.0,4.0,0,2000-01,32.0,,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-14,MANU vs. DEN,165,"42.982923, -71.446094",shot - 56,,20000108,1610612747,5.0,4.0,0.0,32.0,48.4
171,77.0,70.0,194.0,1.0,1.0,0,2000-01,36.0,40.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2000-11-16,MANU @ SAC,172,"38.567296, -121.456638",,shot - 3,20000124,1610612747,1.0,1.0,0.0,36.0,10.4
181,328.0,0.0,0.0,11.0,4.0,0,2000-01,44.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-16,MANU @ SAC,182,"38.567296, -121.456638",shot - 1,,20000124,1610612747,11.0,,0.0,44.0,20.0
191,,174.0,-6.0,6.0,1.0,0,2000-01,24.0,37.0,,Right Side(R),Mid Range,16-24 ft.,,2000-11-18,MANU @ DEN,192,,shot - 47,,20000140,1610612747,6.0,1.0,0.0,24.0,37.0
192,57.0,0.0,0.0,6.0,1.0,0,,2.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-18,MANU @ DEN,193,"39.739968, -104.954013",shot - 4,,20000140,1610612747,6.0,1.0,0.0,69.7856,20.0
195,100.0,153.0,4.0,0.0,1.0,0,2000-01,18.0,35.0,,Right Side(R),Mid Range,8-16 ft.,,2000-11-18,MANU @ DEN,196,"39.739968, -104.954013",shot - 14,,20000140,1610612747,0.0,1.0,0.0,18.0,35.0
201,256.0,-162.0,66.0,10.0,3.0,0,2000-01,5.0,37.0,,Left Side(L),Mid Range,16-24 ft.,Manchester United,2000-11-18,MANU @ DEN,202,"39.739968, -104.954013",,shot - 3,20000140,1610612747,10.0,3.0,0.0,5.0,37.0
204,297.0,-185.0,9.0,5.0,,0,2000-01,1.0,38.0,,Left Side(L),Mid Range,16-24 ft.,Manchester United,2000-11-18,MANU @ DEN,205,"39.739968, -104.954013",,shot - 3,20000140,1610612747,5.0,,0.0,,38.0
209,411.0,-214.0,156.0,5.0,4.0,0,2000-01,19.0,46.0,,Left Side Center(LC),Penalty Spot,24+ ft.,Manchester United,2000-11-18,MANU @ DEN,210,"39.739968, -104.954013",shot - 54,,20000140,1610612747,5.0,4.0,0.0,98.7856,
210,425.0,-149.0,137.0,3.0,4.0,0,2000-01,38.0,40.0,,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2000-11-18,MANU @ DEN,211,"39.739968, -104.954013",,shot - 3,20000140,1610612747,3.0,4.0,0.0,38.0,40.0
227,322.0,0.0,0.0,0.0,3.0,0,,4.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,,2000-11-19,MANU vs. CHI,228,"42.982923, -71.446094",,shot - 1,20000147,1610612747,,24.36,0.0,54.2,20.0
249,273.0,0.0,0.0,6.0,3.0,0,2000-01,9.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-22,,250,"42.982923, -71.446094",shot - 56,,20000168,1610612747,6.0,,0.0,9.0,20.0
256,56.0,106.0,154.0,6.0,1.0,0,2000-01,,,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2000-11-24,MANU vs. MIN,257,"42.982923, -71.446094",shot - 36,,20000180,1610612747,6.0,1.0,0.0,22.0,38.0
259,86.0,,154.0,3.0,1.0,0,2000-01,25.0,38.0,,,Mid Range,16-24 ft.,Manchester United,2000-11-24,MANU vs. MIN,260,"42.982923, -71.446094",,shot - 3,20000180,1610612747,98.64,1.0,0.0,,38.0
261,242.0,73.0,17.0,10.0,3.0,0,2000-01,53.0,27.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-11-24,MANU vs. MIN,262,"42.982923, -71.446094",shot - 55,,20000180,1610612747,10.0,42.36,0.0,53.0,27.0
263,256.0,115.0,137.0,9.0,3.0,0,2000-01,18.0,37.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2000-11-24,MANU vs. MIN,264,"42.982923, -71.446094",shot - 23,,20000180,1610612747,9.0,3.0,0.0,18.0,37.0
266,308.0,-141.0,-19.0,3.0,3.0,0,2000-01,12.0,34.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-11-24,MANU vs. MIN,267,"42.982923, -71.446094",,shot - 3,20000180,1610612747,48.2,3.0,0.0,60.7856,95.4
278,62.0,0.0,,5.0,1.0,0,,17.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-27,MANU @ LAC,279,"34.189593, -118.471724",shot - 1,,20000198,1610612747,5.0,1.0,0.0,17.0,20.0
281,207.0,98.0,141.0,2.0,2.0,0,,38.0,37.0,,Right Side Center(RC),Mid Range,16-24 ft.,,2000-11-27,MANU @ LAC,282,"34.189593, -118.471724",shot - 51,,20000198,1610612747,2.0,,0.0,38.0,37.0
292,374.0,51.0,116.0,10.0,4.0,0,2000-01,39.0,32.0,,Center(C),Goal Line,8-16 ft.,Manchester United,2000-11-27,MANU @ LAC,293,"34.189593, -118.471724",shot - 37,,20000198,1610612747,10.0,4.0,0.0,39.0,32.0
298,171.0,-65.0,106.0,8.0,2.0,0,2000-01,11.0,32.0,,Left Side(L),Goal Line,8-16 ft.,Manchester United,2000-11-28,MANU vs. IND,299,"42.982923, -71.446094",shot - 44,,20000206,1610612747,8.0,2.0,120.60799999999999,11.0,32.0
299,203.0,-115.0,106.0,6.0,2.0,0,2000-01,11.0,35.0,,Left Side(L),Mid Range,,Manchester United,2000-11-28,MANU vs. IND,300,"42.982923, -71.446094",shot - 15,,20000206,1610612747,6.0,2.0,0.0,11.0,94.4
300,205.0,-86.0,55.0,5.0,2.0,0,2000-01,47.0,30.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-11-28,MANU vs. IND,301,,,shot - 3,20000206,1610612747,5.0,2.0,127.60799999999999,47.0,30.0
316,439.0,-117.0,217.0,9.0,4.0,0,2000-01,23.0,44.0,,Left Side Center(LC),Penalty Spot,24+ ft.,,2000-11-28,MANU vs. IND,317,"42.982923, -71.446094",,shot - 3,20000206,1610612747,9.0,4.0,0.0,23.0,32.4
326,243.0,167.0,184.0,0.0,2.0,0,2000-01,28.0,44.0,,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,2000-11-30,MANU @ SEA,327,"47.633181, -122.308343",,shot - 3,20000222,1610612747,0.0,27.36,0.0,66.7856,44.0
327,254.0,129.0,19.0,10.0,3.0,0,2000-01,59.0,33.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2000-11-30,MANU @ SEA,328,"47.633181, -122.308343",shot - 35,,20000222,1610612747,,3.0,0.0,59.0,33.0
334,36.0,0.0,0.0,8.0,,0,2000-01,,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-12-01,MANU vs. SAS,335,"42.982923, -71.446094",shot - 39,,20000230,1610612747,8.0,1.0,0.0,14.0,20.0
345,208.0,-16.0,55.0,3.0,,0,2000-01,14.0,25.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-12-01,MANU vs. SAS,346,"42.982923, -71.446094",shot - 44,,20000230,1610612747,3.0,2.0,,14.0,25.0
347,267.0,26.0,68.0,10.0,3.0,0,2000-01,15.0,,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-12-01,MANU vs. SAS,348,"42.982923, -71.446094",shot - 38,,20000230,1610612747,10.0,3.0,0.0,15.0,
359,416.0,117.0,253.0,7.0,4.0,0,2000-01,34.0,47.0,,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,2000-12-01,MANU vs. SAS,360,"42.982923, -71.446094",,shot - 3,20000230,1610612747,62.64,4.0,0.0,34.0,47.0
364,4.0,-16.0,181.0,,1.0,0,,18.0,38.0,,Center(C),Mid Range,16-24 ft.,Manchester United,2000-12-03,MANU vs. DAL,365,"42.982923, -71.446094",shot - 20,,20000246,1610612747,11.0,1.0,,,38.0
378,230.0,18.0,160.0,0.0,2.0,0,2000-01,0.0,36.0,,Center(C),Mid Range,16-24 ft.,Manchester United,2000-12-03,MANU vs. DAL,379,"42.982923, -71.446094",,shot - 3,20000246,1610612747,,52.36,85.8,0.0,36.0
381,290.0,-157.0,45.0,5.0,3.0,0,2000-01,12.0,36.0,,,Mid Range,16-24 ft.,Manchester United,2000-12-03,MANU vs. DAL,382,"42.982923, -71.446094",shot - 43,,20000246,1610612747,47.64,110.36,0.0,24.2,36.0
389,428.0,0.0,0.0,4.0,4.0,0,,16.0,20.0,,Center(C),,Less Than 8 ft.,Manchester United,2000-12-03,MANU vs. DAL,390,"42.982923, -71.446094",,shot - 4,20000246,1610612747,4.0,4.0,,16.0,14.4
390,466.0,0.0,0.0,1.0,4.0,0,2000-01,14.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-12-03,MANU vs. DAL,391,"42.982923, -71.446094",shot - 4,,20000246,1610612747,1.0,33.6,0.0,38.2,20.0
391,473.0,-73.0,11.0,0.0,4.0,0,2000-01,41.0,27.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-12-03,MANU vs. DAL,392,"42.982923, -71.446094",,shot - 3,20000246,1610612747,0.0,,0.0,41.0,27.0
396,,117.0,247.0,1.0,1.0,0,2000-01,27.0,,,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,2000-12-05,MANU vs. PHI,397,"42.982923, -71.446094",,shot - 3,20000258,1610612747,1.0,1.0,,27.0,47.0
416,436.0,39.0,192.0,5.0,4.0,0,,2.0,39.0,,Center(C),Mid Range,,Manchester United,2000-12-05,MANU vs. PHI,417,"42.982923, -71.446094",shot - 30,,20000258,1610612747,5.0,4.0,0.0,2.0,39.0
417,439.0,153.0,181.0,4.0,4.0,0,2000-01,16.0,43.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2000-12-05,MANU vs. PHI,418,"42.982923, -71.446094",,shot - 3,20000258,1610612747,113.2,4.0,129.35232000000002,16.0,43.0
419,480.0,60.0,17.0,0.0,4.0,0,2000-01,38.0,26.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-12-05,MANU vs. PHI,420,"42.982923, -71.446094",,shot - 3,20000258,1610612747,0.0,4.0,0.0,,26.0
427,106.0,-147.0,0.0,0.0,1.0,0,2000-01,0.0,34.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-12-06,MANU @ GSW,428,"37.754130, -122.437947",shot - 50,,20000267,1610612747,103.64,,0.0,0.0,32.728
428,117.0,-31.0,61.0,10.0,2.0,0,2000-01,5.0,26.0,,Center(C),Goal Line,Less Than 8 ft.,,2000-12-06,MANU @ GSW,429,"37.754130, -122.437947",shot - 23,,20000267,1610612747,10.0,2.0,0.0,5.0,26.0
433,201.0,-60.0,66.0,0.0,2.0,0,,33.0,28.0,,Left Side(L),Goal Line,8-16 ft.,Manchester United,2000-12-06,MANU @ GSW,434,"37.754130, -122.437947",,shot - 3,20000267,1610612747,0.0,2.0,0.0,,28.0
438,250.0,0.0,0.0,8.0,3.0,0,2000-01,25.0,20.0,,,Goal Area,Less Than 8 ft.,Manchester United,2000-12-06,MANU @ GSW,439,"37.754130, -122.437947",,shot - 4,20000267,1610612747,8.0,3.0,0.0,25.0,20.0
439,267.0,96.0,228.0,6.0,3.0,0,2000-01,37.0,44.0,,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,2000-12-06,MANU @ GSW,440,"37.754130, -122.437947",,shot - 3,20000267,1610612747,46.2,41.36,63.8,37.0,44.0
450,494.0,-147.0,,2.0,5.0,0,2000-01,26.0,34.0,,Left Side(L),,8-16 ft.,Manchester United,2000-12-06,MANU @ GSW,451,"37.754130, -122.437947",shot - 36,,20000267,1610612747,2.0,109.6,0.0,26.0,34.0
455,2.0,-86.0,133.0,11.0,1.0,0,,43.0,35.0,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-12-08,MANU vs. SEA,456,"42.982923, -71.446094",,shot - 3,20000280,1610612747,11.0,1.0,117.60799999999999,134.7216,35.0
458,55.0,60.0,34.0,6.0,1.0,0,,24.0,26.0,,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-12-08,MANU vs. SEA,459,"42.982923, -71.446094",,shot - 3,20000280,1610612747,,1.0,0.0,24.0,26.0
471,283.0,117.0,171.0,7.0,3.0,0,,35.0,40.0,,,Mid Range,16-24 ft.,Manchester United,2000-12-08,MANU vs. SEA,472,"42.982923, -71.446094",shot - 37,,20000280,1610612747,105.2,3.0,85.8,35.0,40.0
479,477.0,-101.0,4.0,1.0,4.0,0,2000-01,43.0,,,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-12-08,MANU vs. SEA,480,"42.982923, -71.446094",shot - 52,,20000280,1610612747,1.0,4.0,56.608000000000004,43.0,
490,226.0,153.0,226.0,1.0,2.0,0,2000-01,19.0,47.0,,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,2000-12-10,MANU vs. DET,491,"42.982923, -71.446094",shot - 37,,20000297,1610612747,1.0,2.0,0.0,19.0,47.0
496,302.0,87.0,127.0,,3.0,0,2000-01,16.0,35.0,,Right Side(R),Mid Range,8-16 ft.,Manchester United,2000-12-10,MANU vs. DET,497,"42.982923, -71.446094",shot - 24,,20000297,1610612747,5.0,3.0,0.0,16.0,24.4
508,106.0,,257.0,2.0,1.0,0,,33.0,45.0,,Center(C),Penalty Spot,24+ ft.,Manchester United,2000-12-12,MANU vs. MIL,509,"42.982923, -71.446094",,shot - 3,20000309,1610612747,2.0,1.0,0.0,33.0,45.0
510,120.0,180.0,192.0,0.0,1.0,0,2000-01,44.0,46.0,,Right Side Center(RC),Penalty Spot,,Manchester United,2000-12-12,MANU vs. MIL,511,"42.982923, -71.446094",,shot - 3,20000309,1610612747,0.0,1.0,113.8,44.0,
522,365.0,-16.0,106.0,0.0,3.0,0,2000-01,0.0,30.0,,Center(C),Goal Line,8-16 ft.,Manchester United,2000-12-12,MANU vs. MIL,523,"42.982923, -71.446094",,shot - 3,20000309,1610612747,0.0,72.36,0.0,0.0,102.4
532,27.0,161.0,108.0,8.0,1.0,0,2000-01,53.0,39.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2000-12-13,MANU @ POR,533,,,shot - 3,20000320,1610612747,8.0,111.36,0.0,53.0,39.0
543,228.0,0.0,0.0,1.0,2.0,0,2000-01,11.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-12-13,MANU @ POR,544,"45.539131, -122.651648",shot - 39,,20000320,1610612747,53.64,2.0,0.0,11.0,106.4
545,275.0,226.0,4.0,8.0,3.0,0,2000-01,,42.0,,Right Side(R),Right Corner,24+ ft.,Manchester United,2000-12-13,MANU @ POR,546,"45.539131, -122.651648",,shot - 3,20000320,1610612747,8.0,,99.8,36.0,42.0
551,417.0,167.0,-4.0,3.0,4.0,0,2000-01,54.0,36.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2000-12-13,MANU @ POR,552,"45.539131, -122.651648",,shot - 3,20000320,1610612747,3.0,4.0,0.0,54.0,36.0
554,453.0,0.0,0.0,0.0,4.0,0,2000-01,47.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,,MANU @ POR,555,"45.539131, -122.651648",shot - 4,,20000320,1610612747,63.7616,75.36,0.0,,20.0
557,3.0,45.0,253.0,11.0,1.0,0,,18.0,45.0,,Center(C),,24+ ft.,Manchester United,2000-12-15,MANU vs. VAN,558,"42.982923, -71.446094",,shot - 3,20000334,1610612747,11.0,1.0,0.0,18.0,45.0
559,29.0,-143.0,78.0,7.0,1.0,0,2000-01,17.0,36.0,,Left Side(L),Mid Range,16-24 ft.,Manchester United,2000-12-15,MANU vs. VAN,560,"42.982923, -71.446094",,shot - 3,20000334,1610612747,7.0,1.0,0.0,17.0,36.0
567,238.0,102.0,154.0,11.0,3.0,0,2000-01,48.0,38.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2000-12-15,MANU vs. VAN,568,"42.982923, -71.446094",,shot - 3,20000334,1610612747,11.0,3.0,0.0,55.7856,38.0
570,267.0,0.0,0.0,8.0,3.0,0,,8.0,20.0,,Center(C),Goal Area,Less Than 8 ft.,,2000-12-15,MANU vs. VAN,571,"42.982923, -71.446094",,shot - 4,20000334,1610612747,8.0,3.0,0.0,89.2,20.0
